categoria,n,gt_pos,pred_pos,matches,exact_matches,TP,FP,FN,TN,precision,recall,f1
No Finding,8,4,4,4,4,2,2,2,2,0.5,0.5,0.5
Enlarged Cardiomediastinum,8,0,1,7,7,0,1,0,7,0.0,,
Cardiomegaly,8,0,6,2,1,0,6,0,2,0.0,,
Lung Opacity,8,0,5,3,2,0,5,0,3,0.0,,
Lung Lesion,8,0,6,2,0,0,6,0,2,0.0,,
Edema,8,0,1,7,7,0,1,0,7,0.0,,
Consolidation,8,0,5,3,3,0,5,0,3,0.0,,
Pneumonia,8,0,0,8,6,0,0,0,8,,,
Atelectasis,8,2,5,3,2,1,4,1,2,0.2,0.5,0.28571428571428575
Pneumothorax,8,0,0,8,4,0,0,0,8,,,
Pleural Effusion,8,2,4,4,2,1,3,1,3,0.25,0.5,0.3333333333333333
Pleural Other,8,0,5,3,3,0,5,0,3,0.0,,
Fracture,8,2,1,5,1,0,1,2,5,0.0,0.0,
Support Devices,8,2,2,4,4,0,2,2,4,0.0,0.0,
